trip_id,arrival_time,departure_time,stop_id
133,6:10:00,6:10:00,c12
133,6:20:00,6:20:00,c984
134,7:05:00,7:05:00,c12
134,7:15:00,7:15:00,c984
135,7:45:00,7:45:00,c12
135,7:55:00,7:55:00,c984
136,8:15:00,8:15:00,c12
136,8:25:00,8:25:00,c984
137,9:10:00,9:10:00,c12
137,9:20:00,9:20:00,c984
138,11:15:00,11:15:00,c12
138,11:25:00,11:25:00,c984
139,11:45:00,11:45:00,c12
139,11:55:00,11:55:00,c984
140,13:00:00,13:00:00,c12
140,13:10:00,13:10:00,c984
141,14:30:00,14:30:00,c12
141,14:40:00,14:40:00,c984
142,15:15:00,15:15:00,c12
142,15:25:00,15:25:00,c984
143,16:15:00,16:15:00,c12
143,16:25:00,16:25:00,c984
144,16:45:00,16:45:00,c12
144,16:55:00,16:55:00,c984
145,17:20:00,17:20:00,c12
145,17:30:00,17:30:00,c984
146,19:00:00,19:00:00,c12
146,19:10:00,19:10:00,c984
147,19:50:00,19:50:00,c12
147,20:00:00,20:00:00,c984
148,21:45:00,21:45:00,c12
148,21:55:00,21:55:00,c984
149,22:45:00,22:45:00,c12
149,22:55:00,22:55:00,c984
150,7:45:00,7:45:00,c12
150,7:55:00,7:55:00,c984
151,8:15:00,8:15:00,c12
151,8:25:00,8:25:00,c984
152,9:10:00,9:10:00,c12
152,9:20:00,9:20:00,c984
153,11:15:00,11:15:00,c12
153,11:25:00,11:25:00,c984
154,11:45:00,11:45:00,c12
154,11:55:00,11:55:00,c984
155,13:00:00,13:00:00,c12
155,13:10:00,13:10:00,c984
156,14:30:00,14:30:00,c12
156,14:40:00,14:40:00,c984
157,16:15:00,16:15:00,c12
157,16:25:00,16:25:00,c984
158,16:45:00,16:45:00,c12
158,16:55:00,16:55:00,c984
159,17:20:00,17:20:00,c12
159,17:30:00,17:30:00,c984
160,19:00:00,19:00:00,c12
160,19:10:00,19:10:00,c984
161,19:50:00,19:50:00,c12
161,20:00:00,20:00:00,c984
162,21:45:00,21:45:00,c12
162,21:55:00,21:55:00,c984
163,22:45:00,22:45:00,c12
163,22:55:00,22:55:00,c984
